Name	Set	ImageFile
Resurrection	Expansion_Packs	Resurrection
Crown of Thorns	Expansion_Packs	Crown_of_Thorns
Appearance	Expansion_Packs	Appearance
Amos, Prophet	Expansion_Packs	Amos_Prophet
Angel Army	Expansion_Packs	Angel_Army
Through it All	Expansion_Packs	Through_It_All
Sustenance	Expansion_Packs	Sustenance
Espionage	Expansion_Packs	Espionage
Tanyr the Dragon	Expansion_Packs	Tanyr_the_Dragon
Unjust Scourge	Expansion_Packs	Unjust_Scourge
Broken Tablets	Expansion_Packs	Broken_Tablets
Honey Locust	Expansion_Packs	Honey_Locust
Oversized Armor	Expansion_Packs	Oversized_Armor
Joseph's Coat	Champion_Card	Josephs_Coat
